,Price,Open,High,Low,Vol.,Change %,AVBLS,CPTRA,CPTRV,DIFF,HRATE,MIREV,MKTCP,MWNTD,MWNUS,MWTRV,NADDU,NTRAN,NTRBL,TOUTV,TRFEE,neg_count,tot_count,iscore,PhaseNo,Target
0,32193.3,29359.7,33233.5,29008.0,240870,9.65,1.3956372450331127,107.04173831295748,0.5186487428947141,18599593048299.0,139613208.60028157,31908499.94066276,611009747250.0,108080.0,63639909.0,35943.56109879937,711719.0,297111.0,1967.622516556292,2164453.295742704,79.69906721999998,2055.082474226804,19557.546391752578,0.9999999999999942,0,1
1,32958.9,32192.9,34755.9,32029.6,155210,2.38,1.2886939240506328,100.029960302658,0.6142944394329242,18599593048299.0,146085344.09830785,35922359.22404933,619812801770.347,108206.0,63721612.0,26720.06983746989,812749.0,359116.0,2272.886075949368,2211805.282375474,86.41999351999996,2055.082474226804,19557.546391752578,0.9999999999999942,0,0
2,32022.6,33016.6,33587.5,28204.5,255270,-2.84,1.3188061907514448,103.58066426122392,0.5298150829987099,18599593048299.0,159954205.87979275,39752808.81415808,582591741171.875,121481.0,63842886.0,39247.279862270014,851667.0,373734.0,2160.312138728324,1922521.52090158,108.70503624999996,2055.082474226804,19557.546391752578,0.9999999999999942,0,1
3,33991.5,32015.4,34414.7,30010.5,202130,6.15,1.2927130828025464,99.73361786428924,0.5212199397009529,18599593048299.0,145160753.31287554,35314776.48318403,631822244400.0,126610.0,63953197.0,70851.50014211031,845343.0,354091.0,2255.356687898089,2209914.206015808,113.36586749000004,2055.082474226804,19557.546391752578,0.9999999999999942,0,1
4,36793.2,33999.3,36934.8,33408.3,227560,8.24,1.293667920903956,108.21916612178543,0.5695986487346872,18599593048299.0,163652569.02152207,43004565.11013959,659286121398.0999,139896.0,64020580.0,65237.523843120274,924851.0,397384.0,2245.107344632768,2131442.7395492857,128.51898515,2055.082474226804,19557.546391752578,0.9999999999999942,0,1
5,39460.2,36798.5,40340.9,36361.2,249600,7.25,1.269546125,111.94847178893632,0.4569802954365618,18599593048299.0,155331251.95263115,45226287.01495596,739800224341.1525,144971.0,64152631.0,83286.1327106712,940647.0,401744.0,2391.333333333333,2751162.1980613857,121.91274523000008,2055.082474226804,19557.546391752578,0.9999999999999942,0,1
6,40599.3,39466.4,41921.7,36613.4,251290,2.89,1.295011067567567,118.14511431991112,0.4792266652647683,18599593048299.0,136839436.24398455,42358095.25666046,729200711081.25,131318.0,64235131.0,60184.78354621022,883788.0,358526.0,2422.472972972973,2518905.296970445,135.47417648000007,2055.082474226804,19557.546391752578,0.9999999999999942,0,0
7,40151.9,40607.2,41363.5,38775.1,128419,-1.1,1.2609308633093523,122.95703364823476,0.6998816179059851,19365166707094.76,133808024.52210464,40693122.11401789,755348290021.8749,114486.0,64336534.0,52775.661700289806,760179.0,321389.0,2312.1510791366904,1924128.5592848049,110.56125153,2055.082474226804,19557.546391752578,0.9999999999999942,0,0
8,38192.2,40149.7,41362.4,35141.6,215780,-4.88,1.282691371069182,130.08707690605394,1.0091018077505711,20607418304386.0,162879650.9247733,43171347.77742759,716360177445.0898,105396.0,64407604.0,23683.33881365009,768365.0,331865.0,2087.2012578616354,1802561.284377868,91.95258523,2055.082474226804,19557.546391752578,0.9999999999999942,0,0
9,35544.3,38195.3,38217.2,30411.6,251040,-6.93,1.3372514999999996,112.8814764298877,0.5442184997184887,20607418304386.0,157757649.32336533,37697672.105572425,635529262515.625,119207.0,64524611.0,35252.223923269616,801285.0,333958.0,2168.558441558441,2438667.93651277,134.42653309999997,2055.082474226804,19557.546391752578,0.9999999999999942,0,0
